시도명,구시군명,선거명,기초의원들
강원,강릉시,구시군의원,새누리당 이용기 / 새누리당 김기영 / 새정치민주연합 기세남 / 새누리당 한상돈 / 무소속 이재안 / 새누리당 강희문 / 새누리당 최익순 / 새정치민주연합 유현민 / 새누리당 박건영 / 새누리당 최선근 / 새정치민주연합 배용주 / 새누리당 조영돈 / 새누리당 조대영 / 새누리당 김남길 / 새누리당 허병관 / 무소속 김남형 / 
강원,강릉시,구시군장,새누리당 최명희 / 
강원,강릉시,기초의원비례대표,새누리당 박경자 / 새정치민주연합 김복자 / 
강원,고성군(강원),구시군의원,새누리당 용광열 / 새정치민주연합 함명준 / 무소속 김진 / 새누리당 김일용 / 새누리당 김형실 / 무소속 김영문 / 
강원,고성군(강원),구시군장,새누리당 윤승근 / 
강원,고성군(강원),기초의원비례대표,새누리당 김숙희 / 
강원,동해시,구시군의원,새누리당 이동호 / 새누리당 이정학 / 새정치민주연합 최석찬 / 새누리당 정성모 / 새누리당 김기하 / 새누리당 김혜숙 / 새정치민주연합 박주현 / 
강원,동해시,구시군장,새누리당 심규언 / 
강원,동해시,기초의원비례대표,새누리당 임명희 / 
강원,삼척시,구시군의원,새누리당 정진권 / 새누리당 이정훈 / 새누리당 권정복 / 무소속 최승국 / 새누리당 정정순 / 새누리당 한동수 / 무소속 이광우 / 
강원,삼척시,구시군장,무소속 김양호 / 
강원,삼척시,기초의원비례대표,새누리당 박영자 / 
강원,속초시,구시군의원,새누리당 김진기 / 새누리당 박명수 / 새정치민주연합 신선익 / 새누리당 최령근 / 새누리당 김종희 / 새정치민주연합 최종현 / 
강원,속초시,구시군장,무소속 이병선 / 
강원,속초시,기초의원비례대표,새누리당 강영희 / 
강원,양구군,구시군의원,새누리당 임철호 / 새정치민주연합 이상건 / 무소속 김철 / 새누리당 최경지 / 새정치민주연합 이태균 / 새정치민주연합 정창수 / 
강원,양구군,구시군장,새누리당 전창범 / 
강원,양구군,기초의원비례대표,새누리당 김동녀 / 
강원,양양군,구시군의원,새누리당 오한석 / 무소속 이기용 / 무소속 김정중 / 새누리당 진종호 / 새누리당 고제철 / 새누리당 최홍규 / 
강원,양양군,구시군장,새누리당 김진하 / 
강원,양양군,기초의원비례대표,새누리당 이영자 / 
강원,영월군,구시군의원,새누리당 엄승열 / 새누리당 조정이 / 새정치민주연합 강명호 / 새누리당 엄경섭 / 새정치민주연합 신준용 / 무소속 윤길로 / 
강원,영월군,구시군장,새누리당 박선규 / 
강원,영월군,기초의원비례대표,새누리당 심재섭 / 
강원,원주시,구시군의원,새누리당 조창휘 / 새정치민주연합 곽희운 / 새누리당 황기섭 / 새정치민주연합 유석연 / 새누리당 허진욱 / 새누리당 권영익 / 새정치민주연합 용정순 / 새누리당 김학수 / 새누리당 박호빈 / 새정치민주연합 이성규 / 새누리당 김명숙 / 새정치민주연합 류인출 / 새누리당 이상현 / 새누리당 전병선 / 새정치민주연합 한상국 / 새정치민주연합 위규범 / 새누리당 이재용 / 새누리당 하석균 / 새정치민주연합 신재섭 / 
강원,원주시,구시군장,새정치민주연합 원창묵 / 
강원,원주시,기초의원비례대표,새누리당 이은옥 / 새누리당 김인순 / 새정치민주연합 김정희 / 
강원,인제군,구시군의원,새누리당 엄윤순 / 새누리당 한의동 / 새정치민주연합 이기호 / 새누리당 최덕용 / 새누리당 이춘만 / 무소속 최종열 / 
강원,인제군,구시군장,새누리당 이순선 / 
강원,인제군,기초의원비례대표,새누리당 강순복 / 
강원,정선군,구시군의원,새누리당 심응종 / 새정치민주연합 전흥표 / 무소속 남조영 / 새누리당 김옥휘 / 새누리당 차주영 / 새정치민주연합 유재철 / 
강원,정선군,구시군장,새누리당 전정환 / 
강원,정선군,기초의원비례대표,새누리당 진길우 / 
강원,철원군,구시군의원,새누리당 강세용 / 새누리당 배병인 / 새정치민주연합 김갑수 / 새누리당 문경훈 / 새정치민주연합 박성호 / 무소속 박남진 / 
강원,철원군,구시군장,새누리당 이현종 / 
강원,철원군,기초의원비례대표,새누리당 오필례 / 
강원,춘천시,구시군의원,새누리당 김주열 / 새정치민주연합 황환주 / 새누리당 손우철 / 새정치민주연합 변관우 / 새누리당 유호순 / 새정치민주연합 윤채옥 / 새정치민주연합 이원규 / 새누리당 박기영 / 새누리당 장미화 / 새누리당 한중일 / 새정치민주연합 황찬중 / 새누리당 박찬흥 / 새정치민주연합 이대주 / 새누리당 차성호 / 새정치민주연합 임금석 / 새정치민주연합 남상규 / 새누리당 이상민 / 새정치민주연합 김영일 / 
강원,춘천시,구시군장,새누리당 최동용 / 
강원,춘천시,기초의원비례대표,새누리당 이미옥 / 새정치민주연합 이혜영 / 새정치민주연합 박순자 / 
강원,태백시,구시군의원,새누리당 고재창 / 새누리당 이한영 / 새정치민주연합 김길동 / 새누리당 김재욱 / 새정치민주연합 유태호 / 무소속 심용보 / 
강원,태백시,구시군장,새누리당 김연식 / 
강원,태백시,기초의원비례대표,새누리당 노복순 / 
강원,평창군,구시군의원,새누리당 유인환 / 새누리당 박찬원 / 새정치민주연합 함명섭 / 새누리당 이범연 / 새누리당 박종욱 / 새정치민주연합 장문혁 / 
강원,평창군,구시군장,새누리당 심재국 / 
강원,평창군,기초의원비례대표,새누리당 임영순 / 
강원,홍천군,구시군의원,새누리당 신동천 / 새누리당 허남진 / 새정치민주연합 김재근 / 새누리당 이호열 / 새정치민주연합 최성진 / 새누리당 백금산 / 무소속 유영덕 / 
강원,홍천군,구시군장,새누리당 노승락 / 
강원,홍천군,기초의원비례대표,새누리당 박은정 / 
강원,화천군,구시군의원,새누리당 노이업 / 새누리당 이흥일 / 새정치민주연합 최광선 / 새누리당 최진규 / 새누리당 류희상 / 무소속 길종수 / 
강원,화천군,구시군장,새누리당 최문순 / 
강원,화천군,기초의원비례대표,새누리당 박정순 / 
강원,횡성군,구시군의원,새누리당 김은숙 / 새누리당 한창수 / 새정치민주연합 장신상 / 새누리당 표한상 / 새누리당 이대균 / 새정치민주연합 김인덕 / 
강원,횡성군,구시군장,새누리당 한규호 / 
강원,횡성군,기초의원비례대표,새누리당 김영숙 / 
경기,가평군,구시군의원,새누리당 최기호 / 무소속 신현배 / 새누리당 조중윤 / 무소속 김춘배 / 새누리당 이종훈 / 무소속 고장익 / 
경기,가평군,구시군장,무소속 김성기 / 
경기,가평군,기초의원비례대표,새누리당 김금순 / 
경기,고양시덕양구,구시군의원,새누리당 우영택 / 새정치민주연합 윤용석 / 정의당 김혜련 / 새누리당 권순영 / 새정치민주연합 장제환 / 정의당 박시동 / 새누리당 고종국 / 새정치민주연합 유선종 / 새누리당 선재길 / 새정치민주연합 강주내 / 새누리당 이규열 / 새정치민주연합 원용희 / 
경기,고양시덕양구,구시군장,새정치민주연합 최성 / 
경기,고양시덕양구,기초의원비례대표,새누리당 고부미 / 새누리당 김홍두 / 새정치민주연합 조현숙 / 새정치민주연합 김효금 / 
경기,고양시일산동구,구시군의원,새누리당 김미현 / 새정치민주연합 김경희 / 새정치민주연합 이화우 / 새누리당 김영식 / 새정치민주연합 김필례 / 새누리당 이영휘 / 새정치민주연합 소영환 / 
경기,고양시일산서구,구시군의원,새누리당 김완규 / 새정치민주연합 고은정 / 새누리당 이영훈 / 새정치민주연합 김운남 / 새누리당 박상준 / 새정치민주연합 이윤승 / 새누리당 임형성 / 새정치민주연합 이길용 / 
경기,과천시,구시군의원,새누리당 문봉선 / 새정치민주연합 이홍천 / 무소속 안영 / 새누리당 고금란 / 새정치민주연합 윤미현 / 무소속 제갈임주 / 
경기,과천시,구시군장,새누리당 신계용 / 
경기,과천시,기초의원비례대표,새누리당 이수진 / 
경기,광명시,구시군의원,새누리당 김정호 / 새정치민주연합 나상성 / 새누리당 오윤배 / 새정치민주연합 이영호 / 새정치민주연합 고순희 / 새누리당 이병주 / 새정치민주연합 김기춘 / 새정치민주연합 김익찬 / 새누리당 이윤정 / 새정치민주연합 조화영 / 새정치민주연합 정용연 / 
경기,광명시,구시군장,새정치민주연합 양기대 / 
경기,광명시,기초의원비례대표,새누리당 조희선 / 새정치민주연합 이길숙 / 
경기,광주시,구시군의원,새누리당 유지호 / 새정치민주연합 이현철 / 새누리당 소미순 / 새정치민주연합 설애경 / 새누리당 황명주 / 새정치민주연합 박해광 / 새누리당 이문섭 / 새정치민주연합 박현철 / 
경기,광주시,구시군장,새누리당 조억동 / 
경기,광주시,기초의원비례대표,새누리당 현자섭 / 
경기,구리시,구시군의원,새누리당 강광섭 / 새누리당 진화자 / 새정치민주연합 신동화 / 새누리당 장향숙 / 새정치민주연합 민경자 / 새정치민주연합 박석윤 / 
경기,구리시,구시군장,새정치민주연합 박영순 / 
경기,구리시,기초의원비례대표,새정치민주연합 임연옥 / 
경기,군포시,구시군의원,새누리당 이석진 / 새정치민주연합 김동별 / 새누리당 장경민 / 새정치민주연합 주연규 / 새누리당 이희재 / 새정치민주연합 이견행 / 새누리당 홍경호 / 새정치민주연합 박미숙 / 
경기,군포시,구시군장,새정치민주연합 김윤주 / 
경기,군포시,기초의원비례대표,새정치민주연합 성복임 / 
경기,김포시,구시군의원,새누리당 유영근 / 새정치민주연합 노수은 / 새정치민주연합 정왕룡 / 새누리당 권오준 / 새정치민주연합 피광성 / 새누리당 김인수 / 새정치민주연합 신명순 / 새누리당 이진민 / 새정치민주연합 정하영 / 
경기,김포시,구시군장,새정치민주연합 유영록 / 
경기,김포시,기초의원비례대표,새누리당 염선 / 
경기,남양주시,구시군의원,새누리당 이진택 / 새정치민주연합 이철영 / 새정치민주연합 정기홍 / 새누리당 양석은 / 새누리당 이철우 / 새정치민주연합 신민철 / 새누리당 이도재 / 새정치민주연합 이창희 / 새정치민주연합 박유희 / 새누리당 우희동 / 새누리당 원병일 / 새정치민주연합 이창균 / 새누리당 곽복추 / 새정치민주연합 정진춘 / 
경기,남양주시,구시군장,새누리당 이석우 / 
